chapter,dialogue,speaker,receiver
1.1,"“Whatever have you been doing with yourself, Watson?”",Stamford,John Watson
1.1,“You are as thin as a lath and as brown as a nut.”,Stamford,John Watson
1.1,“Poor devil!”,Stamford,John Watson
1.1,“What are you up to now?”,Stamford,John Watson
1.1,"“Looking for lodgings,”",John Watson,Stamford
1.1,“Trying to solve the problem as to whether it is possible to get comfortable rooms at a reasonable price.”,John Watson,Stamford
1.1,"“That’s a strange thing,”",Stamford,John Watson
1.1,“you are the second man to-day that has used that expression to me.”,Stamford,John Watson
1.1,“And who was the first?”,John Watson,Stamford
1.1,"“A fellow who is working at the chemical laboratory up at the hospital. He was bemoaning himself this morning because he could not get someone to go halves with him in some nice rooms which he had found, and which were too much for his purse.”",Stamford,John Watson
1.1,“By Jove!”,John Watson,Stamford
1.1,"“if he really wants someone to share the rooms and the expense, I am the very man for him. I should prefer having a partner to being alone.”",John Watson,Stamford
1.1,"“You don’t know Sherlock Holmes yet,”",Stamford,John Watson
1.1,“perhaps you would not care for him as a constant companion.”,Stamford,John Watson
1.1,"“Why, what is there against him?”",John Watson,Stamford
1.1,"“Oh, I didn’t say there was anything against him. He is a little queer in his ideas—an enthusiast in some branches of science. As far as I know he is a decent fellow enough.”",Stamford,John Watson
1.1,"“A medical student, I suppose?”",John Watson,Stamford
1.1,"“No—I have no idea what he intends to go in for. I believe he is well up in anatomy, and he is a first-class chemist; but, as far as I know, he has never taken out any systematic medical classes. His studies are very desultory and eccentric, but he has amassed a lot of out-of-the way knowledge which would astonish his professors.”",Stamford,John Watson
1.1,“Did you never ask him what he was going in for?”,John Watson,Stamford
1.1,"“No; he is not a man that it is easy to draw out, though he can be communicative enough when the fancy seizes him.”",Stamford,John Watson
1.1,"“I should like to meet him,”",John Watson,Stamford
1.1,"“If I am to lodge with anyone, I should prefer a man of studious and quiet habits. I am not strong enough yet to stand much noise or excitement. I had enough of both in Afghanistan to last me for the remainder of my natural existence. How could I meet this friend of yours?”",John Watson,Stamford
1.1,"“He is sure to be at the laboratory,”",Stamford,John Watson
1.1,"“He either avoids the place for weeks, or else he works there from morning to night. If you like, we shall drive round together after luncheon.”",Stamford,John Watson
1.1,"“Certainly,”",John Watson,Stamford
1.1,"“You mustn’t blame me if you don’t get on with him,”",Stamford,John Watson
1.1,"“I know nothing more of him than I have learned from meeting him occasionally in the laboratory. You proposed this arrangement, so you must not hold me responsible.”",Stamford,John Watson
1.1,"“If we don’t get on it will be easy to part company,”",John Watson,Stamford
1.1,"“It seems to me, Stamford,”",John Watson,Stamford
1.1,"“that you have some reason for washing your hands of the matter. Is this fellow’s temper so formidable, or what is it? Don’t be mealy-mouthed about it.”",John Watson,Stamford
1.1,"“It is not easy to express the inexpressible,”",Stamford,John Watson
1.1,"“Holmes is a little too scientific for my tastes—it approaches to cold-bloodedness. I could imagine his giving a friend a little pinch of the latest vegetable alkaloid, not out of malevolence, you understand, but simply out of a spirit of inquiry in order to have an accurate idea of the effects. To do him justice, I think that he would take it himself with the same readiness. He appears to have a passion for definite and exact knowledge.”",Stamford,John Watson
1.1,“Very right too.”,John Watson,Stamford
1.1,"“Yes, but it may be pushed to excess. When it comes to beating the subjects in the dissecting-rooms with a stick, it is certainly taking rather a bizarre shape.”",Stamford,John Watson
1.1,“Beating the subjects!”,John Watson,Stamford
1.1,"“Yes, to verify how far bruises may be produced after death. I saw him at it with my own eyes.”",Stamford,John Watson
1.1,“And yet you say he is not a medical student?”,John Watson,Stamford
1.1,"“No. Heaven knows what the objects of his studies are. But here we are, and you must form your own impressions about him.”",Stamford,John Watson
1.1,"“I’ve found it! I’ve found it,”",Sherlock Holmes,Stamford
1.1,"“I have found a re-agent which is precipitated by hæmoglobin, and by nothing else.”",Sherlock Holmes,Stamford
1.1,"“Dr. Watson, Mr. Sherlock Holmes,”",Stamford,Sherlock Holmes
1.1,"“Dr. Watson, Mr. Sherlock Holmes,”",Stamford,John Watson
1.1,“How are you?”,Sherlock Holmes,John Watson
1.1,"“You have been in Afghanistan, I perceive.”",Sherlock Holmes,John Watson
