chapter,dialogue,speaker,receiver
1,"“The mater will be delighted to see you again—after all those years,”",John Cavendish,Arthur Hastings
1,“Your mother keeps well?”,Arthur Hastings,John Cavendish
1,"“Oh, yes. I suppose you know that she has married again?”",John Cavendish,Arthur Hastings
1,“Rotten little bounder too!”,John Cavendish,Arthur Hastings
1,"“I can tell you, Hastings, it’s making life jolly difficult for us. As for Evie—you remember Evie?”",John Cavendish,Arthur Hastings
1,“No.”,Arthur Hastings,John Cavendish
1,"“Oh, I suppose she was after your time. She’s the mater’s factotum, companion, Jack of all trades! A great sport—old Evie! Not precisely young and beautiful, but as game as they make them.”",John Cavendish,Arthur Hastings
1,“You were going to say——?”,Arthur Hastings,John Cavendish
1,"“Oh, this fellow! He turned up from nowhere, on the pretext of being a second cousin or something of Evie’s, though she didn’t seem particularly keen to acknowledge the relationship. The fellow is an absolute outsider, anyone can see that. He’s got a great black beard, and wears patent leather boots in all weathers! But the mater cottoned to him at once, took him on as secretary—you know how she’s always running a hundred societies?”",John Cavendish,Arthur Hastings
1,"“Well, of course the war has turned the hundreds into thousands. No doubt the fellow was very useful to her. But you could have knocked us all down with a feather when, three months ago, she suddenly announced that she and Alfred were engaged! The fellow must be at least twenty years younger than she is! It’s simply bare-faced fortune hunting; but there you are—she is her own mistress, and she’s married him.”",John Cavendish,Arthur Hastings
1,“It must be a difficult situation for you all.”,Arthur Hastings,John Cavendish
1,“Difficult! It’s damnable!”,John Cavendish,Arthur Hastings
1,"“Got a drop or two of petrol still, you see,”",John Cavendish,Arthur Hastings
1,“Mainly owing to the mater’s activities.”,John Cavendish,Arthur Hastings
1,"“I’m afraid you’ll find it very quiet down here, Hastings.”",John Cavendish,Arthur Hastings
1,"“My dear fellow, that’s just what I want.”",Arthur Hastings,John Cavendish
1,"“Oh, it’s pleasant enough if you want to lead the idle life. I drill with the volunteers twice a week, and lend a hand at the farms. My wife works regularly ‘on the land’. She is up at five every morning to milk, and keeps at it steadily until lunchtime. It’s a jolly good life taking it all round—if it weren’t for that fellow Alfred Inglethorp!”",John Cavendish,Arthur Hastings
1,"“I wonder if we’ve time to pick up Cynthia. No, she’ll have started from the hospital by now.”",John Cavendish,Arthur Hastings
1,“Cynthia! That’s not your wife?”,Arthur Hastings,John Cavendish
1,"“No, Cynthia is a protégée of my mother’s, the daughter of an old schoolfellow of hers, who married a rascally solicitor. He came a cropper, and the girl was left an orphan and penniless. My mother came to the rescue, and Cynthia has been with us nearly two years now. She works in the Red Cross Hospital at Tadminster, seven miles away.”",John Cavendish,Arthur Hastings
1,"“Hullo, Evie, here’s our wounded hero! Mr. Hastings—Miss Howard.”",John Cavendish,Evelyn Howard
1,"“Hullo, Evie, here’s our wounded hero! Mr. Hastings—Miss Howard.”",John Cavendish,Arthur Hastings
1,“Weeds grow like house afire. Can’t keep even with ’em. Shall press you in. Better be careful.”,Evelyn Howard,John Cavendish
1,“Weeds grow like house afire. Can’t keep even with ’em. Shall press you in. Better be careful.”,Evelyn Howard,Arthur Hastings
1,"“I’m sure I shall be only too delighted to make myself useful,”",Arthur Hastings,Evelyn Howard
1,“Don’t say it. Never does. Wish you hadn’t later.”,Evelyn Howard,Arthur Hastings
1,"“You’re a cynic, Evie,”",John Cavendish,Evelyn Howard
1,“Where’s tea to-day—inside or out?”,John Cavendish,Evelyn Howard
1,“Out. Too fine a day to be cooped up in the house.”,Evelyn Howard,John Cavendish
1,"“Come on then, you’ve done enough gardening for to-day. ‘The labourer is worthy of his hire’, you know. Come and be refreshed.”",John Cavendish,Evelyn Howard
1,"“Well,”",Evelyn Howard,John Cavendish
1,“I’m inclined to agree with you.”,Evelyn Howard,John Cavendish
1,"“My wife, Hastings,”",John Cavendish,Arthur Hastings
1,"“Then you’ll write to the Princess after tea, Alfred? I’ll write to Lady Tadminster for the second day, myself. Or shall we wait until we hear from the Princess? In case of a refusal, Lady Tadminster might open it the first day, and Mrs. Crosbie the second. Then there’s the Duchess—about the school fête.”",Emily Inglethorp,Alfred Inglethorp
1,"“Yes, certainly. After tea will do quite well. You are so thoughtful, Alfred dear.”",Emily Inglethorp,Alfred Inglethorp
1,"“Why, if it isn’t too delightful to see you again, Mr. Hastings, after all these years. Alfred, darling, Mr. Hastings—my husband.”",Emily Inglethorp,Alfred Inglethorp
1,"“Why, if it isn’t too delightful to see you again, Mr. Hastings, after all these years. Alfred, darling, Mr. Hastings—my husband.”",Emily Inglethorp,Arthur Hastings
1,"“This is a pleasure, Mr. Hastings.”",Alfred Inglethorp,Arthur Hastings
1,"“Emily dearest, I think that cushion is a little damp.”",Alfred Inglethorp,Emily Inglethorp
1,"“Is soldiering your regular profession, Mr. Hastings?”",Alfred Inglethorp,Arthur Hastings
1,"“No, before the war I was in Lloyd’s.”",Arthur Hastings,Alfred Inglethorp
1,“And you will return there after it is over?”,Alfred Inglethorp,Arthur Hastings
1,“Perhaps. Either that or a fresh start altogether.”,Arthur Hastings,Alfred Inglethorp
