chapter,dialogue,speaker,receiver
1,James Bolivar diGriz I arrest you on the charge—,Cop George,James diGriz
1,"... On the charge of illegal entry, theft, forgery—",Cop George,James diGriz
1,In addition the charge of assaulting a police robot will be added to your record. This was foolish since my brain and larynx are armored and in my midsection—,Cop George,James diGriz
1,"That I know well, George, but your little two-way radio is in the top of your pointed head and I don't want you reporting to your friends just yet.",James diGriz,Cop George
2,"Over there. The M-19 that was loading these burned out a brakeband, you better see that they're taken care of.",James diGriz,Shipping Department Robot
3,"Have one of these, diGriz, I believe they're your brand.",Inskipp,James diGriz
3,"Sit down diGriz and put that cannon away. If I wanted to kill you, I could have done it a lot easier than herding you into this room.",Inskipp,James diGriz
3,Don't tell me you thought it was an accident that you ended up here?,Inskipp,James diGriz
3,"Had me worried there for a minute, the way you stood there rolling your eyes and waving this piece of field artillery around.",Inskipp,James diGriz
3,Who are you?,James diGriz,Inskipp
3,"Well, it doesn't matter who I am. What does matter is the organization that I represent.",Inskipp,James diGriz
3,The Corps?,James diGriz,Inskipp
3,"Exactly. The Special Corps. You didn't think I was the local police, did you? They have orders to shoot you on sight. It was only after I told them how to find you that they let the Corps come along on the job. I have some of my men in the building, they're the ones who herded you up here. The rest are all locals with itchy trigger fingers.",Inskipp,James diGriz
3,"All right Mr. Detective, you have me so there is no sense in gloating. What's next on the program? Psychological reorientation, lobotomy—or just plain firing squad?",James diGriz,Inskipp
3,"None of those, I'm afraid. I am here to offer you a job on the Corps.",Inskipp,James diGriz
3,"I will admit it has its ludicrous side—but only at first glance. If you stop to think, you will have to admit that who is better qualified to catch a thief than another thief?",Inskipp,James diGriz
3,"An interesting offer, but I'm not getting out of this by playing the rat. There is even a code among thieves, you know.",James diGriz,Inskipp
3,"What kind of stupidity do you call that? It sounds like a line out of a TV thriller. You've never met another crook in your whole life and you know it! And if you did you would cheerfully turn him in if you could make a profit on the deal. The entire essence of your life is individualism—that and the excitement of doing what others can't do. Well that's over now, and you better start admitting it to yourself. You can no longer be the interplanet playboy you used to be—but you can do a job that will require every bit of your special talents and abilities. Have you ever killed a man?",Inskipp,James diGriz
3,No ... not that I know of.,James diGriz,Inskipp
3,"Well you haven't, if that will make you sleep any better at night. You're not a homicidal, I checked that on your record before I came out after you. That is why I know you will join the Corps and get a great deal of pleasure out of going after the other kind of criminal who is sick, not just socially protesting. The man who can kill and enjoy it.",Inskipp,James diGriz
3,"What about the Corps, if they ever find out you are hiring half-reformed criminals to do your dirty work we will both be shot at dawn.",James diGriz,Inskipp
3,"In the first place my boy, I am the Corps—at least the man at the top—and what do you think my name is? Harold Peters Inskipp, that's what it is!",Inskipp,James diGriz
