chapter,dialogue,speaker,receiver
1,"On your feet, Murdock! The judge wants to see you.",Guard,Ross Murdock
1,"You have a bad record, young man.",Judge Ord Rawle,Ross Murdock
1,"Yes, sir,",Ross Murdock,Judge Ord Rawle
1,A very bad record for the few years you have had to make it.,Judge Ord Rawle,Ross Murdock
1,"By rights, you should be turned over to the new Rehabilitation Service....",Judge Ord Rawle,Ross Murdock
1,"Instead, I have been authorized to offer you a choice, Murdock. One which I shall state—and on record—I do not in the least approve.",Judge Ord Rawle,Ross Murdock
1,"There is a government project in need of volunteers. It seems that you have tested out as possible material for this assignment. If you sign for it, the law will consider the time spent on it as part of your sentence. Thus you may aid the country which you have heretofore disgraced——",Judge Ord Rawle,Ross Murdock
1,"And if I refuse, I go to this rehabilitation. Is that right, sir?",Ross Murdock,Judge Ord Rawle
1,I certainly consider you a fit candidate for rehabilitation. Your record—,Judge Ord Rawle,Ross Murdock
1,"I choose to volunteer for the project, sir.",Ross Murdock,Judge Ord Rawle
1,"Here then is your volunteer, Major.",Judge Ord Rawle,Major John Kelgarries
1,"Thank you, your honor. We will be on our way at once. This weather is not very promising.",Major John Kelgarries,Judge Ord Rawle
1,"On your way, Murdock!",Major John Kelgarries,Ross Murdock
1,Come on!,Major John Kelgarries,Ross Murdock
1,Sit down—over there!,Major John Kelgarries,Ross Murdock
1,"All right,",Major John Kelgarries,Ross Murdock
1,Climb into this! We haven't all night.,Major John Kelgarries,Ross Murdock
1,"We'd better scramble, Kelgarries, or we may be grounded for the duration!",Pilot,Major John Kelgarries
1,Now hear this....,Major John Kelgarries,Ross Murdock
1,... to identify ...,Major John Kelgarries,Ross Murdock
2,What—?,Ross Murdock,
2,That's stupid!,Ross Murdock,
2,Hardy! Hardy!,Major John Kelgarries,Hardy
2,"Hardy, man!",Major John Kelgarries,Hardy
2,"It's all right, Hardy. You're back—safe. This is the base, Hardy.",Major John Kelgarries,Hardy
2,Back—safe—,Hardy,Major John Kelgarries
2,"Back, safe,",Major John Kelgarries,Hardy
2,Dark—dark all around again—,Hardy,Major John Kelgarries
2,"Just a power failure, man. Everything's all right now. We'll get you into bed.",Major John Kelgarries,Hardy
2,Safe—?,Hardy,Major John Kelgarries
2,You bet you are!,Major John Kelgarries,Hardy
2,"Murdock, get down to the end room. Call Dr. Farrell!",Major John Kelgarries,Ross Murdock
2,"Yes, sir!",Ross Murdock,Major John Kelgarries
2,Murdock?,Ashe,Ross Murdock
2,I am Ashe.,Ashe,Ross Murdock
2,This is a table and that is a chair.,Ashe,Ross Murdock
2,All right—so you're Ashe!,Ross Murdock,Ashe
2,And what is that supposed to mean?,Ross Murdock,Ashe
2,For the time being we have been partnered——,Ashe,Ross Murdock
2,Partnered for what?,Ross Murdock,Ashe
2,We work in pairs here. The machine sorts us ...,Ashe,Ross Murdock
2,Mess call soon.,Ashe,Ross Murdock
2,"What is this place, anyway?",Ross Murdock,Ashe
2,Operation Retrograde.,Ashe,Ross Murdock
2,"Okay, but what do they do here? Listen, I just saw a fellow who'd been banged up as if he'd been in a concrete mixer, creeping along this hall. What sort of work do they do here? And what do we have to do?",Ross Murdock,Ashe
2,"Hardy got under your skin, eh? Well, we have our percentage of failures. They are as few as it's humanly possible to make, and they give us every advantage that can be worked out for us——",Ashe,Ross Murdock
2,Failures at what?,Ross Murdock,Ashe
2,Operation Retrograde.,Ashe,Ross Murdock
2,"That's mess call. And I'm hungry, even if you're not.",Ashe,Ross Murdock
2,"Not many in tonight,",Ashe,Ross Murdock
2,It's been a busy week.,Ashe,Ross Murdock
2,Gordon!,Jansen,Ashe
2,When did you get back? And where is Sanford?,Jansen,Ashe
2,Another loss?,Hodaki,Ashe
2,Just reassignment. Sandy's holding down Outpost Gog and doing well.,Ashe,Hodaki
2,He'll end up with a million or two if he doesn't watch out. He takes to trade as if he were born with a beaker in his fist.,Ashe,Hodaki
2,Just reassignment. Sandy's holding down Outpost Gog and doing well.,Ashe,Jansen
2,He'll end up with a million or two if he doesn't watch out. He takes to trade as if he were born with a beaker in his fist.,Ashe,Jansen
2,"Your new partner, Ashe?",Hodaki,Ashe
2,Temporary assignment. This is Murdock.,Ashe,Hodaki
2,Temporary assignment. This is Murdock.,Ashe,Feng
2,Temporary assignment. This is Murdock.,Ashe,Jansen
2,Temporary assignment. This is Murdock.,Ashe,Van Wyke
2,"Hodaki, Feng,",Ashe,Ross Murdock
2,"Jansen, Van Wyke.",Ashe,Ross Murdock
2,Ashe!,Kurt,Ashe
2,"Well, Kurt?",Ashe,Kurt
2,Did you hear about Hardy?,Kurt,Ashe
2,Naturally.,Ashe,Kurt
2,He's smashed up ... kaput....,Kurt,Ashe
2,Tortured....,Kurt,Ashe
2,"You aren't on Hardy's run, are you?",Ashe,Kurt
2,"Of course, I'm not! You know the run I am in training for. But that is not saying that such can not happen as well on my run, or yours, or yours!",Kurt,Ashe
2,"Of course, I'm not! You know the run I am in training for. But that is not saying that such can not happen as well on my run, or yours, or yours!",Kurt,Feng
2,"Of course, I'm not! You know the run I am in training for. But that is not saying that such can not happen as well on my run, or yours, or yours!",Kurt,Jansen
2,"Of course, I'm not! You know the run I am in training for. But that is not saying that such can not happen as well on my run, or yours, or yours!",Kurt,Van Wyke
2,"You can fall out of bed and break your neck, too, if your number comes up that way,",Jansen,Kurt
2,Go cry on Millaird's shoulder if it hurts you that much. You were told the score at your briefing. You know why you were picked....,Jansen,Kurt
2,"Then you are going to keep on saying 'Yes, sir,' 'No, sir,' to every order here——?",Kurt,Jansen
2,"Why this foolishness, Kurt? You well know how and why we are picked for runs. Hardy had the deck stacked against him through no fault of the project. That has happened before; it will happen again——",Hodaki,Kurt
2,"Which is what I have been saying! Do you wish it to happen to you? Pretty games those tribesmen on your run play with their prisoners, do they not?",Kurt,Hodaki
2,"Oh, shut up!",Jansen,Kurt
2,"If you have any complaints, go make them to Millaird. And, little man",Jansen,Kurt
2,"wait until you make that first run of yours before you sound off so loudly. No one is sent out without every ounce of preparation he can take. But we can't set up luck in advance, and Hardy was unlucky. That's that. We got him back, and that was lucky for him. He'd be the first to tell you so.",Jansen,Kurt
2,I'm for a game—Ashe? Hodaki?,Jansen,Ashe
2,I'm for a game—Ashe? Hodaki?,Jansen,Hodaki
2,"Always so energetic,",Ashe,Jansen
2,"Always these three try to beat each other, and so far all the contests are draws. But we hope ... yes, we have hopes....",Feng,Ross Murdock
2,Territory?,Ashe,Jansen
2,Territory?,Ashe,Hodaki
2,Inland plains!,Jansen,Ashe
2,Inland plains!,Hodaki,Ashe
2,"Trying to be smart tonight, boys?",Ashe,Jansen
2,"All right, plains it is.",Ashe,Jansen
2,"Trying to be smart tonight, boys?",Ashe,Hodaki
2,"All right, plains it is.",Ashe,Hodaki
2,Red!,Jansen,Hodaki
